id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
5740,audi,Audi A4,black,12/2011,2011,12300,105,143,Automatic,Diesel,"5,9 l/100 km",155 g/km,164000.0,2.0 TDI Ambiente Avant Automatik
46935,citroen,Citroen C4,grey,05/2022,2022,26990,100,136,Automatic,Electric,,0 g/km,19962.0,Elektromotor 136 SHINE 3 Phase Navi Kamera
23496,bmw,BMW Z3,silver,02/1997,1997,12990,103,140,Manual,Petrol,8 l/100 km,189 g/km,50066.0,roadster 1.9
98796,mazda,Mazda CX-5,red,10/2017,2017,22990,118,160,Manual,Petrol,"6,8 l/100 km",159 g/km,72500.0,L SKYACTIV-G 160 AWD 5T 6GS AL-SPORTS LEDER-W
79661,hyundai,Hyundai Grand Santa Fe,beige,03/2018,2018,19990,147,200,Automatic,Diesel,7 l/100 km,184 g/km,215000.0,"Premium blue 4WD,VOLL!!!"
42807,bmw,BMW X1,blue,04/2023,2023,56900,125,170,Automatic,Petrol,"6,1 l/100 km",141 g/km,50.0,20i sD M Sportpaket 699€ mtl. Rate ohne Anzah
13952,audi,Audi A4,black,11/2017,2017,23900,140,190,Automatic,Diesel,"4,7 l/100 km",123 g/km,95740.0,Avant quattro 2.0 TDI Navi Soundsystem Klimasitze
87197,jeep,Jeep Renegade,white,08/2022,2022,29990,96,131,Automatic,Petrol,"5,9 l/100 km",133 g/km,25.0,MY22+ Upland MHEV 48V Park-/Funkt.-Paket
28131,bmw,BMW 320,grey,07/2010,2010,11600,135,184,Automatic,Diesel,7 l/100 km,- (g/km),192500.0,116d DPF
96891,land-rover,Land Rover Defender,green,05/2023,2023,104895,221,300,Automatic,Diesel,"9,2 l/100 km",242 g/km,1100.0,110 D300 75th Limited Edition Navi Leder 360°
89558,kia,Kia Ceed SW / cee'd SW,black,02/2018,2018,14390,88,120,Manual,Petrol,"5,2 l/100 km",120 g/km,61309.0,Ceed SW T-GDI 120 Spirit Navi+Kamera+PDC+Privacy+K
29685,bmw,BMW X3,black,11/2011,2011,15900,190,258,Automatic,Diesel,6 l/100 km,- (g/km),220000.0,"xDrive30d Aut. M-Packet, Panoramadach, Head-Up.."
57018,fiat,Fiat 500C,grey,04/2023,2023,20890,51,69,Manual,Petrol,"4,1 l/100 km",93 g/km,10.0,Tempomat Navi PDC
65399,ford,Ford Galaxy,grey,09/2017,2017,15980,132,179,Automatic,Diesel,,134 g/km,177003.0,2.0 TDCi Titanium Leder Navi Pano LED Ahk
58337,ford,Ford Ka/Ka+,blue,03/2006,2006,1500,44,60,Manual,Petrol,"5,9 l/100 km",140 g/km,109200.0,Ka Fun
97132,maserati,Maserati 3200,red,01/2001,2001,43990,271,368,Manual,Petrol,"15,8 l/100 km",388 g/km,30850.0,"GT, 1 Owner, Top Condition 30.000 km"
9242,audi,Audi RS6,black,10/2014,2014,59990,412,560,Automatic,Petrol,"9,8 l/100 km",232 g/km,87000.0,"Avant 4.0 TFSI quattro, Dynamic Paket plus"
71332,ford,Ford Puma,grey,04/2020,2020,20950,92,125,Manual,Petrol,- (l/100 km),- (g/km),50565.0,1.0 EcoBoost Hybrid ST-LINE X
93827,lamborghini,Lamborghini Aventador,green,03/2021,2021,599800,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,9900.0,SVJ*Dreamcar*Vollausstattung*MWST*Matt
90002,kia,Kia,blue,02/2019,2019,14990,73,99,Manual,Petrol,"6,2 l/100 km",142 g/km,68750.0,Ceed SW Attract | Sitzheizung | Rückfahrkamera |
43706,citroen,Citroen C4,black,08/2008,2008,3000,80,109,Manual,Diesel,"4,7 l/100 km",125 g/km,278850.0,HDi 110 FAP VTR Plus
96859,land-rover,Land Rover Defender,grey,03/2023,2023,146990,386,525,Automatic,Petrol,"14,8 l/100 km",334 g/km,1000.0,110 P525 V8 Carpathian Edition
62843,ford,Ford Focus,grey,06/2015,2015,16480,134,182,Manual,Petrol,"5,5 l/100 km",127 g/km,49500.0,"1.5 Titanium Winter P, Kamera, Navi, Klima"
2042,audi,Audi A2,grey,11/2002,2002,2350,55,75,Manual,Diesel,"4,3 l/100 km",114 g/km,348000.0,1.4 TDI*Klima*CD*Parkhilfe*
37611,bmw,BMW 420,grey,03/2018,2018,26000,135,184,Automatic,Petrol,"5,8 l/100 km",- (g/km),56245.0,420i Gran Coupe Aut. M Sport
77025,honda,Honda Jazz,grey,06/2021,2021,19350,80,109,Automatic,Petrol,"3,6 l/100 km",82 g/km,40913.0,1.5 i-MMD HYBRID COMFORT AUTOMATIK LED+ACC
86620,jeep,Jeep Grand Cherokee,white,09/2019,2019,50990,184,250,Automatic,Diesel,7 l/100 km,212 g/km,37990.0,Overland Panorama/ NAV/ Xenon
93146,kia,Kia Picanto,silver,05/2023,2023,17380,49,67,Automatic,Petrol,"4,7 l/100 km",106 g/km,9.0,1.0 AMT VISION *KLIMA*NAVI*KAMERA*SITZH*
81367,hyundai,Hyundai TUCSON,white,05/2019,2019,24980,130,177,Automatic,Petrol,,0 g/km,47241.0,1.6 GDI 4WD N-Line 7-DCT
88691,kia,Kia Picanto,silver,11/2016,2016,11900,63,86,Automatic,Petrol,"4,7 l/100 km",111 g/km,29000.0,"Spirit ""1 HAND-KLIMA-MULTI-ALU-TÜV NEU"""
64519,ford,Ford Focus,silver,03/2016,2016,14990,88,120,Automatic,Diesel,"3,8 l/100 km",99 g/km,24000.0,Turnier Trend 1.5  TDCi Aut. * TÜV NEU *
22173,audi,Audi Q8 e-tron,grey,02/2023,2023,94880,300,408,Automatic,Electric,,487 km Reichweite,5000.0,"S-Line 55Quattro/Matrix,Pano"
37819,bmw,BMW 520,grey,08/2018,2018,19950,140,190,Automatic,Diesel,"4,1 l/100 km",108 g/km,99950.0,d M-Sport LED NAVI Digital Cockpit
46481,citroen,Citroen C3 Aircross,grey,09/2021,2021,22990,88,120,Automatic,Diesel,,0 g/km,40000.0,1.5 BlueHDi 120 Shine Pack EAT6 Klima Navi
93206,kia,Kia Ceed / cee'd,white,06/2023,2023,24990,118,160,Automatic,Petrol,"5,8 l/100 km",132 g/km,15.0,CEED_SW 1.5T DCT VISION NAVI KAMERA KLIMAAUTO
85861,jaguar,Jaguar F-Pace,black,03/2023,2023,68180,150,204,Automatic,Diesel,"5,2 l/100 km",137 g/km,7440.0,R-Dynamic Black D200 Pano AHK HeadUp ACC
8472,audi,Audi A6,brown,04/2014,2014,19990,230,313,Automatic,Diesel,"6,7 l/100 km",178 g/km,199500.0,Allroad Quattro 3.0 TDI/LUFT/S-Heft/TÜV NEU
29701,bmw,BMW 520,silver,04/2011,2011,14999,135,184,Automatic,Diesel,"4,9 l/100 km",130 g/km,106867.0,Baureihe 5 Touring 520d/ Automatik/ Panorama
69101,ford,Ford EcoSport,grey,12/2019,2019,17890,92,125,Manual,Petrol,"6,2 l/100 km",146 g/km,26459.0,Titanium 1.0 EcoBoost 92kW 6-Gang Sports Utility V
66972,ford,Ford Focus,grey,06/2018,2018,17498,103,140,Manual,Petrol,"4,7 l/100 km",112 g/km,42000.0,1.0 EcoBoost ST-Line /Navi/Xenon/R.Kamera
46967,citroen,Citroen C3,grey,09/2022,2022,15946,60,82,Manual,Petrol,"5,5 l/100 km",123 g/km,2431.0,1.2 Feel Pack Navi über Mirror-Link Sitzh
52489,ferrari,Ferrari Roma,white,03/2021,2021,249900,456,620,Automatic,Petrol,"10,3 l/100 km",234 g/km,1690.0,Carbon *Lift *Display *CAM *el Seats
16073,audi,Audi A4,silver,11/2018,2018,25490,110,150,Automatic,Diesel,"4,3 l/100 km",114 g/km,65850.0,Avant 35 TDI sport PDC SHZ XENON NAVI
24756,bmw,BMW 318,grey,01/2004,2004,5550,105,143,Manual,Petrol,"7,4 l/100 km",- (g/km),160000.0,e46
82068,hyundai,Hyundai STARIA,grey,10/2021,2021,47677,130,177,Automatic,Diesel,"8,5 l/100 km",232 g/km,19948.0,Signature 4WD Leder Navi Led Bose SOFORT
2976,audi,Audi A4,black,03/2006,2006,9950,162,220,Manual,Petrol,"9,1 l/100 km",218 g/km,146700.0,"Lim. 2,0 TFSI quattro"
30346,bmw,BMW X5,black,05/2012,2012,8490,180,245,Automatic,Diesel,"7,4 l/100 km",196 g/km,123000.0,xDrive30d (E70)
85918,jeep,Jeep Compass,black,11/2012,2012,9000,100,136,Manual,Diesel,6 l/100 km,- (g/km),229700.0,Compass 2.2I CRD 4x2 Limited
83999,hyundai,Hyundai i20,white,05/2023,2023,19710,74,101,Manual,Petrol,"5,3 l/100 km",120 g/km,5.0,Trend 1.0T-GDI 100PS Voll-LED/Kamera/Winterp.  **
27154,bmw,BMW 318,silver,08/2008,2008,6690,105,143,Manual,Petrol,"6,3 l/100 km",149 g/km,125000.0,i Lim. (E81/E87)
77814,hyundai,Hyundai SANTA FE,black,06/2013,2013,13950,172,234,Manual,Diesel,"6,1 l/100 km",159 g/km,203000.0,2.2 CRDi Style 4WD*AHK*2.Hand*
6540,audi,Audi TT,grey,06/2012,2012,18750,118,160,Manual,Petrol,"6,5 l/100 km",154 g/km,87600.0,"Roadster 1.8 TFSI, XENON, NAVI, PDC, 19""ROTOR"
97782,maserati,Maserati Levante,blue,01/2023,2023,128333,316,430,Automatic,Petrol,12 l/100 km,272 g/km,43.0,"Modena*Sonderleasing 1.499,-*"
39827,bmw,BMW 530,silver,10/2019,2019,42880,195,265,Automatic,Diesel,,0 g/km,74490.0,d xDrive Sport Line Standheizung  GSD 18
77834,hyundai,Hyundai i30,black,07/2013,2013,9390,73,99,Manual,Petrol,"6,5 l/100 km",154 g/km,117113.0,cw 1.4 EUR 5*DAB+*R-Kam*8xLMF*PDC*Klima*TOP*
623,alfa-romeo,Alfa Romeo Giulietta,black,11/2017,2017,14598,110,150,Manual,Petrol,"5,5 l/100 km",127 g/km,70000.0,Super (ab 2016) 1.Hand 150 PS Nichtraucher
29706,bmw,BMW 650,silver,09/2011,2011,26990,300,408,Automatic,Petrol,"10,6 l/100 km",251 g/km,119000.0,i Cabrio Deutsches Fahrzeug kein Import
77354,hyundai,Hyundai i30,red,03/2010,2010,4999,80,109,Manual,Petrol,"6,1 l/100 km",145 g/km,169000.0,"1.4 FIFA WM Edition TÜV NEU, Klima, Garantie"
24616,bmw,BMW X5,silver,05/2003,2003,4999,135,184,Automatic,Diesel,"8,6 l/100 km",228 g/km,299850.0,3.0d (E53)
2462,audi,Audi A3,black,03/2004,2004,2600,75,102,Manual,Petrol,7 l/100 km,- (g/km),195000.0,1.6 Ambition
58694,ford,Ford Mustang,black,10/2007,2007,27990,306,416,Automatic,Petrol,,0 g/km,54500.0,Fun X*KLIMA*TÜV 08/24*SCHECKHEFT*8 FACH*
73365,ford,Ford Focus,silver,11/2021,2021,24290,92,125,Manual,Petrol,"4,2 l/100 km",97 g/km,2156.0,Lim. Cool & Connect 4-Türer LED Winter
35917,bmw,BMW 530,blue,09/2017,2017,24990,195,265,Automatic,Diesel,"5,3 l/100 km",139 g/km,168000.0,d xDrive Sport Line HUD*AUT*NAVI*LEDER*LED*M
41282,bmw,BMW 330,blue,03/2021,2021,39900,190,258,Automatic,Petrol,,- (g/km),31514.0,i Touring M-Sport ACC+LED+AHK+SHZ
98910,mazda,Mazda 3,white,07/2017,2017,13690,88,120,Manual,Petrol,"5,1 l/100 km",119 g/km,91303.0,2.0 Sport-Line SHZ Navigation
60950,ford,Ford Focus,blue,09/2013,2013,5700,74,101,Manual,Petrol,"4,9 l/100 km",112 g/km,91500.0,TOURNIER / KOMBI EcoBoost KLIMA nur 91tkm
16966,audi,Audi e-tron,grey,06/2019,2019,56450,265,360,Automatic,Electric,,359 km Reichweite,31032.0,55 quattro advanced
48605,dacia,Dacia Sandero,blue,06/2018,2018,11380,66,90,Manual,Petrol,"5,5 l/100 km",130 g/km,27147.0,II Stepway Celebration 1.HAND/NAVI/PDC !
83754,hyundai,Hyundai,black,02/2023,2023,60490,168,228,Automatic,Electric,,0 g/km,1558.0,UNIQ-Paket*dig.Außenspiegel*PANO*KAMERA
39286,bmw,BMW 530,black,11/2019,2019,34499,185,252,Automatic,Hybrid,,47 g/km,59590.0,e iPerf Sport Line H/K 360° Leder Cockpit Pro
